Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
285811;"PEÑACOBA VALENCIA,S.L.                                                                              ";400,00;1;;"Joana Zamora        ";30/07/2025;"Factura pendent"
284345;"AVATON AC2D SLU                                                                                     ";2023,24;11;;;;
3707;"ANDIMESA S.L.                                                                                       ";30,36;1;;;;
281752;"GUESS ANDORRA                                                                                       ";4609,78;6;;;;
126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";552,22;3;18/10/2024;"Anna Maria Mateo    ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
3914;"AUTO STOP,S.L.                                                                                      ";1055,15;2;30/10/2024;"Anna Maria Mateo    ";25/11/2024;"GESTIO DE COBRO"
4162;"DAPA,S.L.                                                                                           ";45,81;2;;;;
285302;"D-KORA-GRUP CM S.A.                                                                                 ";18,68;2;;;;
185130;"CORAL TRANSPORTS CENTRO INSULAR SL                                                                  ";33,10;2;27/12/2024;"Anna Maria Mateo    ";03/01/2025;"GESTIO DE COBRO"
125533;"LABORAE,S.L. KAFEX                                                                                  ";472,19;2;;;;
281899;"ARAP S.A.U / BETZINERES ESSO                                                                        ";76,81;2;;"Anna Maria Mateo    ";31/10/2024;"gestio de cobro"
284030;"VERY N'ICE S.L.                                                                                     ";108,23;1;;"Anna Maria Mateo    ";25/03/2025;"gestio de cobro sepa"
500444;"PERSIANES MAZON S.L.                                                                                ";1368,19;9;31/12/2024;"Josep Pereiro       ";21/03/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 241,23 EUR"
324;"LVMH IBERIA, S.L.                                                                                   ";250,00;6;23/12/2024;"Anna Maria Mateo    ";13/02/2025;"GESTIO DE COBRO"
3798;"CONSTRUCCIONS I TREBALLS PUBLICS LA COMA,S.L.                                                       ";51,84;1;;;;
5767;"FARMACIA SANT ERMENGOL                                                                              ";22,63;1;;;;
5785;"HOTEL HESPERIA ANDORRA LA VELLA (ALIAT)                                                             ";51,84;1;;;;
4066;"HOTEL PLAZA                                                                                         ";33,19;1;;;;
285258;"TALLER BARRIO,S.L.-SERGIO RUBIO GARCIA                                                              ";206,35;3;29/01/2025;"Anna Maria Mateo    ";13/02/2025;"GESTIO DE COBRO"
284891;"CBL VALENCIA  460                                                                                   ";50,10;1;;;;
4363;"DB SCHENKER GIRONA                                                                                  ";144,17;3;;;;
281695;"FRANCESC PEDRAZA BAGUR - ERAND ENERGIES RENOVABLES                                                  ";319,32;2;27/02/2025;"Anna Maria Mateo    ";03/03/2025;"sol.licitut dades bancaries"
287559;"CUVO FOODS, S.L.                                                                                    ";28,32;1;;;;
281862;"SURF ARINSAL                                                                                        ";1313,63;7;;;;
286584;"HIFE ANDORRA-AUTOCARS ANDORRA 2011, S.L.                                                            ";162,97;2;;;;
100116;"MULTI SERVEIS INTEGRALS 01,S.L.                                                                     ";235,13;1;;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
125587;"PROLAB FOTO I+D,S.L.                                                                                ";358,64;8;10/04/2025;"Anna Maria Mateo    ";17/03/2025;"gestio de cobro retorn"
280951;"CIMERA S.L. (CELLAB)                                                                                ";1211,27;2;;;;
128965;"KUCOVER,S.L.U.                                                                                      ";21,22;1;;"Anna Maria Mateo    ";21/07/2025;"GESTIO DE COBRO"
5817;"DB SCHENKER VIC / JOVITRANS                                                                         ";-46,38;4;31/12/2025;"Josep Pereiro       ";04/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 192,58 EUR"
286609;"MINISTERI D'AFERS EXTERIORS                                                                         ";463,59;1;;;;
3863;"ENSISA                                                                                              ";-1538,28;12;17/09/2025;"Anna Maria Mateo    ";12/11/2024;"GESTIO DE COBRO"
4185;"FAMAGUSTA, S.L.                                                                                     ";78,91;6;30/04/2025;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
281507;"RESTAURANT MCDONALD'S ANDORRA LA VELLA                                                              ";21,18;1;;;;
282353;"LOCUB,S.A.                                                                                          ";37,80;1;;"Anna Maria Mateo    ";31/10/2024;"GESTIO DE COBRO"
285658;"EDICOM S.A.                                                                                         ";114,33;1;;;;
500794;"BESPOKE CLOSET - CARMEN LOPEZ                                                                       ";956,18;2;30/04/2025;"Anna Maria Mateo    ";08/05/2025;"gestio de cobro"
130095;"AIR LIQUIDE HEALTCHCARE ESPAÑA,S.L.                                                                 ";904,89;1;;;;
287271;"CLARINS SPAIN SA                                                                                    ";76,85;1;;"Anna Maria Mateo    ";11/07/2025;"GESTIO DE COBRO"
4107;"VALIRA SEGURETAT,S.L.                                                                               ";70,84;1;;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
184320;"CAT ESPAÑA LOG. CARGO, S.L.U.                                                                       ";9644,67;2;;"Josep Clauso        ";29/09/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 1.205,64 EUR"
183666;"EDITORIAL PLANETA ANDORRA,S.L.U.                                                                    ";35,66;1;;;;
4016;"CAVIDSA - LOG. I G. CAVES ANDORRANES I VIDAL, S.A.                                                  ";7,67;1;;;;
100353;"MINISTERI ORDENAMENT TERRITORIAL (BOMBERS)                                                          ";11,19;1;;;;
286597;"ICL UNILOG                                                                                          ";1950,25;5;;;;
287327;"FUSCO,ANTONIO                                                                                       ";1031,40;4;;;;
283455;"OTSO                                                                                                ";1543,94;1;;;;
4072;"TREPOSA                                                                                             ";46,44;3;05/09/2025;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
5773;"CAVES MANACOR                                                                                       ";57,62;1;;;;
130039;"OTSO THINK SPORT SL                                                                                 ";471,71;1;;;;
189236;"TRAYCCO - APUNTO MARKETING EN EL PUNTO DE VENTA SL                                                  ";75,00;1;;;;
282937;"HAIR CARE INSTITUTE SLU                                                                             ";2488,85;2;09/06/2025;"Anna Maria Mateo    ";19/09/2025;"Bona tarda,esta tancat el transit d'aquesta exp.?gràcies."
284101;"UVL INFORMATICA                                                                                     ";247,28;4;14/07/2025;"Anna Maria Mateo    ";19/06/2025;"GESTIO DE COBRO"
286103;"NUTRIM, S.L.                                                                                        ";5,77;1;;"Anna Maria Mateo    ";27/11/2024;"gestio de cobro"
3955;"CCA                                                                                                 ";720,49;4;;"Anna Maria Mateo    ";18/09/2025;"gestio de cobro"
128386;"EXPOVECTOR, S.L.U                                                                                   ";34,38;1;;"Anna Maria Mateo    ";04/06/2025;PAGO
183729;"SHISEIDO SPAIN SA                                                                                   ";497,57;2;;;;
285591;"SERRALLERIA PARDO                                                                                   ";34,37;2;30/07/2025;"Anna Maria Mateo    ";21/08/2025;"gestio de cobro"
126744;"PORCELANOSA SA                                                                                      ";45,71;1;;;;
286366;"MARC MITJANA-PRISMA TOPOGRAFIA                                                                      ";35,04;1;;;;
287714;"UTE ANDORRA II ACCIONA AGUA ECOTECNIC                                                               ";145,42;1;;;;
3387;"PASSERA DISTRIBUCIO,S.L.                                                                            ";11,19;1;;"Anna Maria Mateo    ";20/11/2024;"GESTIO DE COBROS"
287462;"SERCOTEL ANDORRA, SL                                                                                ";112,41;1;;;;
280779;"MENJAR DE VERITAT,S.L.U. (VERITAS)                                                                  ";377,88;2;;;;
283919;"EL CEDRE DISTRIBUCIONS, SLU                                                                         ";39,50;7;30/06/2025;"Anna Maria Mateo    ";28/10/2024;"gestio de cobro"
284156;"MENTA FACILITY,S.L.                                                                                 ";82,74;2;;;;
280776;"NECTARVI   /   ELS AMICS DEL VI,S.L.                                                                ";13,53;1;;;;
280018;"EDITORIAL PLANETA,S.A.                                                                              ";178,30;1;;;;
3960;"FUNDACIO RESIDENCIA CLARA RABASSA                                                                   ";67,63;2;05/08/2025;"Joana Zamora        ";07/08/2025;"Retorn rebut"
6123;"FUSTERIA EBENISTERIA ART SANTA COLOMA S.L.                                                          ";260,88;3;06/05/2025;"Anna Maria Mateo    ";04/04/2025;"GESTIO DE COBRO"
100340;"GOVERN D'ANDORRA                                                                                    ";14,62;1;;;;
283312;"DB SCHENKER MADRID                                                                                  ";446,14;4;;;;
284895;"ARTDECO,S.L.U.                                                                                      ";19,12;1;;;;
283514;"FRAN REPELIN                                                                                        ";43,89;2;;;;
287639;"LUZLU NAILS                                                                                         ";120,78;2;05/08/2025;"Joana Zamora        ";07/08/2025;"Retorn rebut"
282160;"D-PACKET - DULCET                                                                                   ";11,68;1;;;;
100802;"CBL LLEIDA                                                                                          ";2528,37;2;;"Paula Alvariza      ";20/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 73,33 EUR"
100800;"CBL ZF                                                                                              ";-1299,89;2;25/06/2025;"Paula Alvariza      ";25/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 108,16 EUR"
1333;"QUARS MEGASTORE-JAMO                                                                                ";32,92;2;;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
5978;"MATERIALS RIBA,S.A.                                                                                 ";186,25;2;;"Anna Maria Mateo    ";02/12/2024;"GESTIO DE COBRO"
283994;"GSI SEGURETAT SLU                                                                                   ";63,73;2;;"Anna Maria Mateo    ";10/12/2024;"GESTIO DE COBRO"
286573;"HOTEL SOLDEU MAISTRE                                                                                ";67,84;1;;;;
5117;"APARTHOTEL SHUSSKI                                                                                  ";88,37;1;;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
188528;"IMPEX IBERICA DEL AUTOMOVIL SA                                                                      ";-111,95;2;27/03/2025;;;
4011;"MENTA SEGURETAT,S.A.U.                                                                              ";-63,46;6;22/04/2025;"Anna Maria Mateo    ";22/08/2025;"gestio de cobro"
1376;"RAMONEDA / NUEVA AGECO                                                                              ";43,83;1;;"Paula Alvariza      ";21/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2973,52 EUR"
286466;"MECAPLUS, S.L.                                                                                      ";443,41;2;;;;
285984;"COPSA-URCOSA, U.T.E. TORRE ZENIT                                                                    ";114,95;1;;;;
286611;"LLORENS MAJORAL, GUADALUPE                                                                          ";21,85;1;;;;
127813;"CBL GIRONA                                                                                          ";40,82;1;;;;
431;"ELECTRODOMESTICS TAURUS,S.L.                                                                        ";632,89;1;;"Anna Maria Mateo    ";09/05/2025;"bON DIA, SISPLAU PODEU NMIRAR AQUESTA EXPEDICIÓ, JA QUE HEU FICAT A LA MATEIXA EXPE.DE DOS PROVEIDORS"
286468;"HESPERIA (FENIX)                                                                                    ";651,55;2;;;;
2527;"SALVAT LOGISTICA                                                                                    ";645,00;1;;"Didac Melsion       ";20/05/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 29434,93 EUR"
283854;"INTERMERCAT HIPER PRIX                                                                              ";90,70;3;;;;
281679;"SAME S.L.                                                                                           ";78,38;1;;"Anna Maria Mateo    ";17/09/2025;"GESTIO DE COBRO"
187754;"HEADBRANDS BEAUTY LUXURY GOLD,S.L.                                                                  ";1093,61;2;;"Josep Pereiro       ";09/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2231,61 EUR"
285991;"COMPLEX ESPORTIU SOCIOCULTURAL                                                                      ";27,75;1;;;;
282782;"MOTOR BOX ANDORRA - TM RACING ANDORRA ERMOT                                                         ";62,01;1;;"Anna Maria Mateo    ";24/02/2025;"GESTIO DE COBRO"
500774;"INACCES, S.L.                                                                                       ";53,21;1;;"Anna Maria Mateo    ";05/09/2025;"gestio de cobro"
5078;"PIC NEGRE,S.A.                                                                                      ";11,19;1;;;;
287273;"4GET-IT /  JOSE JRC                                                                                 ";-0,01;2;25/07/2025;;;
286561;"PALADIUM                                                                                            ";49,02;1;;;;
283634;"SPORT HOTEL VILLAGE                                                                                 ";42,02;1;;;;
284793;"MORABANC GRUP                                                                                       ";14,62;2;29/08/2025;"Anna Maria Mateo    ";09/09/2025;"gestio de cobro"
