Empresa;Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
Traldisporta_Express;5817;"DB SCHENKER VIC / JOVITRANS                                                                         ";168,72;1;26/03/2025;"Josep Pereiro       ";04/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 192,58 EUR"
Traldisporta_Express;283774;"PILAR Y ANDREA EL BURO S.L.                                                                         ";210,15;1;18/03/2025;;;
Traldisporta_Express;287527;"MBB GROUP SRL - MY BEST BAG                                                                         ";487,79;2;09/04/2025;;;
Traldisporta_Express;100311;"CALSINA CARRE                                                                                       ";1027,29;1;22/06/2025;"Josep Pereiro       ";25/11/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 443,16"
Traldisporta_Express;125329;"BODEGAS LUZON, S.L.                                                                                 ";264,63;2;20/06/2025;;;
Traldisporta_Express;2820;"KRAFFT,S.L.                                                                                         ";498,06;1;25/07/2025;"Anna Maria Mateo    ";20/01/2023;"ENVIAT E-MAIL RECLAMCIO DEUEN DOS MESOS"
Traldisporta_Express;3197;"SEITRANS,S.A.                                                                                       ";164,61;2;30/07/2025;"Josep Pereiro       ";08/07/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 120,01 EUR"
Traldisporta_Express;285225;"IBERSANTJUST S.L.                                                                                   ";110,36;1;10/08/2025;;;
Traldisporta_Express;1661;"SOCIEDAD DE SERVICIOS LOGISTICOS SDA CENTRAL,S.L.                                                   ";30,02;1;31/08/2024;;;
Traldisporta_Express;285635;"INDUSTRIAS CARNICAS LORIENTE-INCARLOPSA                                                             ";169,99;3;30/10/2024;;;
Traldisporta_Express;286580;"LEPECO SL - MIDTOWN -                                                                               ";30,58;18;30/10/2024;"Anna Maria Mateo    ";04/09/2025;"GESTIO DE COBRO"
Traldisporta_Express;188122;"TECHNIC STONE 2020 SL                                                                               ";85,18;1;15/11/2024;;;
Traldisporta_Express;100708;"LA BUGADERIA                                                                                        ";158,66;2;29/11/2024;;;
Traldisporta_Express;286124;"MOTOR TARREGA CONSTRUTEC                                                                            ";168,42;2;30/12/2024;;;
Traldisporta_Express;195;"DB SCHENKER LLEIDA                                                                                  ";4159,73;5;18/02/2025;"Josep Pereiro       ";27/05/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 492,75 EUR"
Traldisporta_Express;283455;"OTSO                                                                                                ";30,00;1;28/02/2025;"Carles Porta Miró   ";21/01/2022;"GESTIONS COBRO"
Traldisporta_Express;4162;"DAPA,S.L.                                                                                           ";79,44;4;30/01/2025;"Anna Maria Mateo    ";28/04/2023;"GESTIO DE COBRO"
Traldisporta_Express;189051;"MOSCA MARITMO, S.L.                                                                                 ";625,00;1;28/02/2025;;;
Traldisporta_Express;287524;"FABRICA DE EMBUTIDOS BELISARIO BARRIGA S.A.                                                         ";147,34;1;28/02/2025;;;
Traldisporta_Express;128970;"VANDEMOORTELE EUROPE N.V. SUCURSAL EN ESPANA                                                        ";-316,27;2;28/03/2025;;;
Traldisporta_Express;129876;"MINTEX PROMOCIONES, S.L.                                                                            ";259,11;2;28/03/2025;;;
Traldisporta_Express;286328;"INTEGRAL FOOD,S.A.                                                                                  ";630,56;5;28/03/2025;;;
Traldisporta_Express;184320;"CAT ESPAÑA LOG. CARGO, S.L.U.                                                                       ";120,80;2;28/04/2025;"Josep Clauso        ";29/09/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 1.205,64 EUR"
Traldisporta_Express;130037;"ARTDENIA, S.L.  SAMARKANDA                                                                          ";348,03;1;31/03/2025;;;
Traldisporta_Express;188237;"DUPLEX PARK SL                                                                                      ";248,28;3;30/04/2025;"Anna Maria Mateo    ";16/11/2023;"gestio de cobro"
Traldisporta_Express;129549;"FRESHZILLA,LTD.                                                                                     ";174,41;2;30/04/2025;;;
Traldisporta_Express;282102;"PRODUCTOS SECO,.S.L.                                                                                ";198,50;1;31/05/2025;;;
Traldisporta_Express;287559;"CUVO FOODS, S.L.                                                                                    ";54,20;2;30/04/2025;;;
Traldisporta_Express;600041;"ENRIC ROCA,S.A.                                                                                     ";57,71;1;30/04/2025;;;
Traldisporta_Express;130039;"OTSO THINK SPORT SL                                                                                 ";3471,23;3;30/05/2025;;;
Traldisporta_Express;189207;"ESCUT SECURITY SERVICES, SLU                                                                        ";913,49;1;30/04/2025;"Josep Pereiro       ";29/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 7.258,84 EUR"
Traldisporta_Express;287673;"LOGISTA RETAIL S.A.                                                                                 ";40,80;1;30/04/2025;;;
Traldisporta_Express;187165;"ONKA ENTRERPRISE, S.L.                                                                              ";3433,06;4;10/07/2025;;;
Traldisporta_Express;285360;"IRONMAN ANDORRA                                                                                     ";1503,22;5;28/07/2024;;;
Traldisporta_Express;285748;"CARNICAS PLACIDO, S.L.                                                                              ";75,90;1;30/07/2025;;;
Traldisporta_Express;130229;"ARCHIMIDES PRO                                                                                      ";1005,33;2;30/06/2025;;;
Traldisporta_Express;182900;"FRANS BONHOMME ESPAÑA,S.L.U.                                                                        ";-313,81;2;30/07/2025;;;
Traldisporta_Express;186970;"TRANSPORTES JESUS GIL E HIJOS, S.L.                                                                 ";499,71;1;30/07/2025;;;
Traldisporta_Express;287340;"PALACIOS ROCA,S.A.U.                                                                                ";22,52;1;09/09/2024;;;
Traldisporta_Express;189196;"OCELL RINGS                                                                                         ";-127,00;4;31/05/2025;;;
Traldisporta_Express;280779;"MENJAR DE VERITAT,S.L.U. (VERITAS)                                                                  ";157,40;1;30/07/2025;;;
Traldisporta_Express;126761;"JULIAN RAMOS TABARES, S.L.                                                                          ";-16,45;2;30/07/2025;;;
Traldisporta_Express;283313;"INSTRUMENTOS MUSICALES GLEZSAMUSIC S.L.U.                                                           ";110,29;2;30/07/2025;;;
Traldisporta_Express;286466;"MECAPLUS, S.L.                                                                                      ";24,49;1;30/06/2025;;;
Traldisporta_Express;188432;"IBERICOS BENITO S.L.                                                                                ";73,83;1;10/09/2024;;;
Traldisporta_Express;255;"SALVESEN LOGISTICA, S.A.                                                                            ";129,97;1;25/11/2024;;;
Traldisporta_Express;188904;"CFCARGO                                                                                             ";580,80;1;25/11/2024;;;
Traldisporta_Express;283209;"CONFEITARIA CARLOS GONÇALVES LDA.                                                                   ";73,83;1;11/11/2024;;;
Traldisporta_Express;286188;"B&C SERVEIS                                                                                         ";4,83;1;04/12/2024;"Josep Pereiro       ";04/03/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 406,74 EUR"
Traldisporta_Express;188098;"TRANSPORTES DAVI, S.A / DAVIPLUS                                                                    ";291,61;1;25/02/2025;;;
Traldisporta_Express;287529;"ALMA ARGENTINA, SLU                                                                                 ";46,91;1;30/12/2024;;;
Traldisporta_Express;130070;"JAMONES IBERICOS BLAZQUEZ                                                                           ";46,91;1;14/01/2025;;;
Traldisporta_Express;284208;"GOURM AND DESSERTS - EXCLUSIVE CAKES-SANMAR                                                         ";288,83;3;27/02/2025;;;
Traldisporta_Express;180850;"WANZL EQUIPAMIENTO COMERCIAL,S.L.                                                                   ";630,05;1;10/03/2025;;;
Traldisporta_Express;182830;"TIRESUR, S.L.                                                                                       ";48,22;1;25/03/2025;;;
Traldisporta_Express;187832;"JS TRANS, S.L.                                                                                      ";147,34;1;27/04/2025;;;
Traldisporta_Express;1830;"DSV ROAD SPAIN,S.A.U.                                                                               ";314,60;1;25/05/2025;;;
Traldisporta_Express;130135;"AUTOPRIMA LEVANTE,S.L.U.                                                                            ";57,71;1;22/04/2025;;;
Traldisporta_Express;128663;"ECODIET                                                                                             ";67,90;2;14/06/2025;;;
Traldisporta_Express;126011;"CENTRE DE JARDINERIA MONTFERRER, S.L.                                                               ";202,22;1;27/05/2025;;;
Traldisporta_Express;181212;"CARNICAS HERMANOS GIAQUINTA, S.L.                                                                   ";263,03;2;27/06/2025;"Carles Porta Miró   ";30/11/2023;"GESTIONS COBRO 2023"
Traldisporta_Express;130224;"FLYTRANS ROISSY                                                                                     ";105,95;1;05/06/2025;;;
Traldisporta_Express;187754;"HEADBRANDS BEAUTY LUXURY GOLD,S.L.                                                                  ";6,61;1;18/06/2025;"Josep Pereiro       ";09/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2231,61 EUR"
Traldisporta_Express;130027;"CIEN POR CIEN SEDA, S.L.                                                                            ";-2,63;2;25/06/2025;;;
Traldisporta_Express;287754;"TERESA CARLES MANUFACTURING, S.L.U                                                                  ";40,80;1;27/07/2025;;;
Traldisporta_Express;280844;"INDUSTRIAS CARNICAS BARCELONA                                                                       ";97,24;1;28/07/2025;;;
Traldisporta_Express;129807;"QUITRACO, S.L.                                                                                      ";40,80;1;21/08/2025;;;
Traldisporta_Express;182185;"STOCK LOGISTIC TRANSPORT MADRID,S.L.                                                                ";-2140,19;2;21/08/2025;;;
Traldisporta_Express;188443;"OPEN ON MONDAYS GASTROTEXTIL SL                                                                     ";135,27;4;29/10/2024;;;
Traldisporta_Express;1677;"AGORA SOLUCIONS LOGISTIQUES,S.L.                                                                    ";625,22;8;09/07/2024;"Didac Melsion       ";20/09/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 25,16"
Traldisporta_Express;188737;"HECDANALE SL                                                                                        ";57,14;4;10/07/2024;;;
Traldisporta_Express;2221;"DB SCHENKER BARCELONA                                                                               ";8202,28;3;10/08/2024;"Paula Alvariza      ";22/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 660,82 EUR"
Traldisporta_Express;182793;"RDA BADAJOZ                                                                                         ";21,11;1;30/10/2024;;;
Traldisporta_Express;767;"VOLPI IMPORT-EXPORT, S.L.                                                                           ";143,87;3;07/03/2025;;;
Traldisporta_Express;2478;"HELLMANN WORLDWIDE, S.A.                                                                            ";774,40;1;30/12/2024;;;
Traldisporta_Express;125216;"MEDIAPOST SPAIN,S.L.                                                                                ";204,99;1;15/03/2025;;;
Traldisporta_Express;181778;"MEDITERRANEAN LOGISTICS PARTNERS / SETRADIS                                                         ";376,28;2;25/03/2024;"Merce munoz         ";16/10/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 113,93 EUR"
Traldisporta_Express;182619;"MARTINEZ COBO ,S.L. MC-CARGO                                                                        ";1033,30;1;30/04/2025;"Josep Clauso        ";19/10/2023;"GESTIO DE COBRO"
Traldisporta_Express;188968;"INNOVACIÓN Y DESARROLLO DE ADITIVOS, S.L.                                                           ";256,02;4;28/02/2025;"Josep Pereiro       ";31/01/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 197,59 EUR"
Traldisporta_Express;1380;"TRANS-CATALA, S.L. CBL                                                                              ";1648,29;4;25/03/2025;"Josep Clauso        ";16/10/2023;"GESTIO DE COBRO"
Traldisporta_Express;185976;"POMMA RECAMBIOS SL                                                                                  ";47,46;1;28/03/2025;;;
Traldisporta_Express;2714;"TRANSNATUR, S.A.                                                                                    ";1166,96;4;15/05/2025;"IMPRESSIONS AND     ";23/09/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 120,51"
Traldisporta_Express;182359;"ESPECIALIDADES ELECTRICAS COMA,S.L.                                                                 ";602,07;3;25/05/2025;"Carles Porta Miró   ";15/01/2024;"GESTIO COBRO"
Traldisporta_Express;185058;"MROLO IBERIA S.L.                                                                                   ";181,08;1;31/03/2025;;;
Traldisporta_Express;5861;"LOGITERS LOGISTICA,S.A.U.                                                                           ";-6,82;4;15/06/2025;"Josep Pereiro       ";05/06/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 100,43 EUR"
Traldisporta_Express;182886;"BRB AMENITIES,S.L.                                                                                  ";648,47;2;30/04/2025;;;
Traldisporta_Express;188873;"MASTER AUTOMOCION SL                                                                                ";-27,25;2;30/06/2025;;;
Traldisporta_Express;282555;"QUALITY ESPRESSO S.A.                                                                               ";32,58;1;30/06/2025;;;
Traldisporta_Express;283500;"GLOBAL FREIGHT INTERNACIONAL,S.A.                                                                   ";371,58;1;30/07/2025;;;
Traldisporta_Express;5968;"TRANSPORTES DEL MARESME,S.A.                                                                        ";198,85;1;14/08/2025;;;
Traldisporta_Express;281406;"ESTABLIMENTS VIENA, S.A.                                                                            ";36,34;1;10/08/2025;"Anna Maria Mateo    ";07/07/2025;"BONES, AMB AQUESTA CARREGA FALTARIA FACTURAR UN IGI DE 192,13 POTS FACTURAR-L'HO.GRACIES."
Traldisporta_Distribucions;284019;"AGENCIA ANDORRANA ANTIDOPATGE-AGAP                                                                  ";-168,08;1;28/03/2023;;;
Traldisporta_Distribucions;3865;"VILADOMAT SAU-ESPORTS VILADOMAT                                                                     ";-49,37;1;30/01/2024;"Jordi Porta         ";24/10/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 53.21 EUR"
Traldisporta_Distribucions;287215;"UNGLES & COMPANYIA                                                                                  ";-31,37;1;30/04/2024;;;
Traldisporta_Distribucions;282862;"COOPERATIVA ESCOLA ANDORRANA                                                                        ";-15,40;1;02/09/2024;"Anna Maria Mateo    ";21/01/2022;"GESTIO DE COBRO"
Traldisporta_Distribucions;100801;"CBL VALLES  / BILBAINOS                                                                             ";204,35;13;05/04/2024;"Paula Alvariza      ";07/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 111,25 EUR"
Traldisporta_Distribucions;287020;"COL·LEGI MARE JANER                                                                                 ";-169,79;6;13/11/2024;;;
Traldisporta_Distribucions;282996;"EL SKY 83                                                                                           ";-78,49;1;25/01/2023;;;
Traldisporta_Distribucions;284874;"LOGISTICA Y DISTRIBUCION ONTINYENT,S.L. CBL -461                                                    ";1708,22;15;05/05/2023;;;
Traldisporta_Distribucions;286034;"MON MOTOR - FERNANDES CARDOSO, BRUNO ALEXANDRE                                                      ";-20,48;1;21/04/2023;;;
Traldisporta_Distribucions;285994;"MEDICINA DE URGENCIAS Y EMERGENCIAS                                                                 ";-10,44;1;25/05/2023;;;
Traldisporta_Distribucions;127114;"LOGISTIC COMPANY VESTA - VESTA FORWARDING, S.L.                                                     ";-4510,73;2;09/06/2023;;;
Traldisporta_Distribucions;573;"DOLQUIM, S.L.                                                                                       ";366,87;1;28/07/2023;;;
Traldisporta_Distribucions;0;"VEL VINT-I-U, SL                                                                                    ";-347,10;6;08/02/2024;"Jordi Porta         ";23/09/2025;"DESTINATARI MOROS. ESPEREM INDICACIONS DE COMPTABILITAT ABANS D'ENTREGAR."
Traldisporta_Distribucions;284200;"FORESTAL GROUP,S.L.U.                                                                               ";-408,15;2;09/04/2024;"Anna Maria Mateo    ";06/03/2023;"GESTIO DE COBRO"
Traldisporta_Distribucions;286223;"AND SHOCK ABSORBERS - JUAN PEDRO MARTINEZ GALVEZ                                                    ";-20,50;1;28/05/2024;;;
Traldisporta_Distribucions;126415;"RDA PAMPLONA                                                                                        ";1421,33;8;31/12/2024;"tpadmin1            ";16/11/2023;"PAGAMENT REBUT"
Traldisporta_Distribucions;4643;"COL·LEGI SAGRADA FAMILIA                                                                            ";183,98;2;29/11/2024;;;
Traldisporta_Distribucions;286823;"FARMACIA ARTEMISA-ESTHER MARQUEZ FERNDANDEZ                                                         ";-22,25;1;18/12/2024;;;
Traldisporta_Distribucions;4846;"FARMACIA TRISTAINA                                                                                  ";-10,97;1;27/12/2024;;;
Traldisporta_Distribucions;281226;"COMERÇ DOLORS                                                                                       ";-67,84;2;08/01/2025;;;
Traldisporta_Distribucions;287401;"BONA MA SEVEIS S.L.U                                                                                ";73,92;3;13/02/2025;;;
Traldisporta_Distribucions;182633;"SD BLOC VALIRA, S.L.U. PELOSTOP                                                                     ";461,44;3;25/12/2023;"Paula Alvariza      ";15/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 330,40 EUR"
Traldisporta_Distribucions;203;"CBL MADRID                                                                                          ";-133,11;1;25/07/2025;"Carles Porta Miró   ";09/09/2024;"gestio de cobro"
Traldisporta_Distribucions;2697;"FEDEX EXPRESS SPAIN,S.L.U.                                                                          ";-205,40;10;15/07/2024;"Didac Melsion       ";19/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 108.15 EUR"
Traldisporta_Distribucions;285223;"BABY BLUE CAPITAL, S.L.U.                                                                           ";10417,54;2;14/08/2025;"Anna Maria Mateo    ";24/02/2025;"GESTIO DE COBRO"
Traldisporta_Distribucions;184320;"CAT ESPAÑA LOG. CARGO, S.L.U.                                                                       ";15457,98;4;24/07/2022;"Josep Clauso        ";29/09/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 1.205,64 EUR"
Traldisporta_Distribucions;100802;"CTM COMERCIAL MARITIMA,S.L.                                                                         ";2739,34;3;31/12/2022;"Paula Alvariza      ";22/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 492,86 EUR"
Traldisporta_Distribucions;284891;"CTM DE LEVANTE,S.L. CBL -460-                                                                       ";1186,92;5;31/01/2023;"Carles Porta Miró   ";22/11/2022;"RECLAMACIO COBRO"
Traldisporta_Distribucions;284192;"AIGUA PURA ANDORRA                                                                                  ";-2447,68;2;30/04/2023;"Anna Maria Mateo    ";18/06/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;127814;"TRANSPORTES BILBAINOS VIZCAIA,S.L. CBL-480-                                                         ";209,74;6;30/05/2023;;;
Traldisporta_Distribucions;127808;"POLITRANS RUTA 40,S.L.U. CBL-500-                                                                   ";145,61;3;30/09/2023;;;
Traldisporta_Distribucions;127812;"TRANSPORTES URGENTES DE ASTURIAS,S.L. CBL-330-                                                      ";180,81;6;05/10/2023;;;
Traldisporta_Distribucions;280018;"EDITORIAL PLANETA,S.A.                                                                              ";1526,88;5;31/05/2024;"Carles Porta Miró   ";25/11/2022;"GESTIO COBROS"
Traldisporta_Distribucions;1177;"D-4 TRANSPORTES Y LOGISTICA, S.L. CBL -431-                                                         ";145,00;1;05/01/2024;;;
Traldisporta_Distribucions;3707;"ANDIMESA S.L.                                                                                       ";43,98;2;11/03/2024;"Anna Maria Mateo    ";28/06/2024;"gestio de cobro"
Traldisporta_Distribucions;127813;"RECADERS DE GIRONA I PROVINCIA,S.L. CBL-170                                                         ";80,82;2;25/02/2024;;;
Traldisporta_Distribucions;3930;"BELLACER, S.A.                                                                                      ";12,26;1;03/06/2025;"Carles Porta Miró   ";30/01/2025;"GESTIO COBRO"
Traldisporta_Distribucions;2410;"EMPRESAS RAMONEDA, S.A.                                                                             ";238,62;1;31/03/2024;"Anna Maria Mateo    ";28/06/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;127314;"TRANSPORTES CALLIZO SA                                                                              ";113,63;1;29/02/2024;"Anna Maria Mateo    ";27/06/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;182881;"EGLOBE INTERMODAL, S.A.                                                                             ";316,06;2;25/04/2024;"Joana Zamora        ";11/10/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;285302;"D-KORA-GRUP CM S.A.                                                                                 ";28,02;3;23/08/2024;"Anna Maria Mateo    ";20/08/2024;"gestio de cobro"
Traldisporta_Distribucions;284679;"TRANSFEDAN,S.L. CBL -40-                                                                            ";76,51;1;05/06/2024;;;
Traldisporta_Distribucions;183587;"EAE-OSTELEA FORMACIONONLINE SL                                                                      ";34,69;1;31/05/2024;;;
Traldisporta_Distribucions;5978;"MATERIALS RIBA,S.A.                                                                                 ";499,40;8;30/07/2022;"Anna Maria Mateo    ";02/12/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;125533;"LABORAE,S.L. KAFEX                                                                                  ";717,41;5;31/05/2024;"Cristina Borrell    ";07/03/2025;"ES NECESARIO CONTACTAR CON EL DESTINATARIO YA QUE LA EXP. VA CON COBRO DE DUA"
Traldisporta_Distribucions;1661;"SOCIEDAD DE SERVICIOS LOGISTICOS SDA CENTRAL,S.L.                                                   ";144,56;2;30/07/2024;;;
Traldisporta_Distribucions;183537;"MEDTRONIC IBERICA SA                                                                                ";210,37;1;30/07/2024;;;
Traldisporta_Distribucions;287144;"PROFIX EUROPE SL                                                                                    ";3362,93;5;31/07/2024;"Anna Maria Mateo    ";22/07/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;128965;"KUCOVER,S.L.U.                                                                                      ";26,26;2;31/07/2024;"Anna Maria Mateo    ";21/07/2025;"GESTIO DE COBRO"
Traldisporta_Distribucions;182751;"BAJOZERO2014,S.L.                                                                                   ";27,70;1;31/07/2024;;;
Traldisporta_Distribucions;284887;"CBL ILLESCAS 281                                                                                    ";218,16;2;25/09/2024;"Anna Maria Mateo    ";25/02/2025;"GESTIO DE COBRO"
Traldisporta_Distribucions;284345;"AVATON AC2D SLU                                                                                     ";2208,22;12;31/08/2024;"Anna Maria Mateo    ";19/08/2024;"gestion de cobro"
Traldisporta_Distribucions;3914;"AUTO STOP,S.L.                                                                                      ";1956,82;4;31/08/2024;"Anna Maria Mateo    ";25/11/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;281899;"ARAP S.A.U / BETZINERES ESSO                                                                        ";98,76;3;31/08/2024;"Anna Maria Mateo    ";31/10/2024;"gestio de cobro"
Traldisporta_Distribucions;125356;"VIA CATALANA,S.L.                                                                                   ";750,00;1;31/10/2024;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
Traldisporta_Distribucions;285811;"PEÑACOBA VALENCIA,S.L.                                                                              ";400,00;1;15/10/2024;"Joana Zamora        ";30/07/2025;"Factura pendent"
Traldisporta_Distribucions;283665;"ATECI                                                                                               ";253,88;1;31/07/2024;"Anna Maria Mateo    ";18/10/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;281752;"GUESS ANDORRA                                                                                       ";4609,78;6;30/09/2024;"Anna Maria Mateo    ";06/09/2024;"GESTIO DE COBRO"
Traldisporta_Distribucions;126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";552,22;3;16/10/2024;"Anna Maria Mateo    ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
Traldisporta_Distribucions;4162;"DAPA,S.L.                                                                                           ";45,81;2;30/10/2024;"Anna Maria Mateo    ";28/04/2023;"GESTIO DE COBRO"
Traldisporta_Distribucions;185130;"CORAL TRANSPORTS CENTRO INSULAR SL                                                                  ";33,10;2;31/12/2024;"Anna Maria Mateo    ";03/01/2025;"GESTIO DE COBRO"
Traldisporta_Distribucions;284030;"VERY N'ICE S.L.                                                                                     ";108,23;1;30/11/2024;"Anna Maria Mateo    ";25/03/2025;"gestio de cobro sepa"
Traldisporta_Distribucions;500444;"PERSIANES MAZON S.L.                                                                                ";1368,19;9;30/12/2024;"Josep Pereiro       ";21/03/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 241,23 EUR"
Traldisporta_Distribucions;324;"LVMH IBERIA, S.L.                                                                                   ";125,00;3;23/12/2024;"Anna Maria Mateo    ";13/02/2025;"GESTIO DE COBRO"
