Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
3578;"GRUPO TOTAL 2000, S.A.                                                                              ";39,69;1;10/12/2024;"                                                  ";17/09/2024;"GESTIONS COBRO"
6186;"DB SCHENKER TARRAGONA                                                                               ";25,00;1;25/03/2025;"                                                  ";;
599;"COSMOPARTNER,S.A.                                                                                   ";124,32;7;25/03/2025;"                                                  ";;
183208;"DHL GLOBAL FORWARDING SPAIN, S.L.                                                                   ";344,58;2;30/11/2024;"                                                  ";14/06/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 3006,34"
283774;"PILAR Y ANDREA EL BURO S.L.                                                                         ";210,15;1;18/03/2025;"Ruben Eduardo                                     ";;
287527;"MBB GROUP SRL - MY BEST BAG                                                                         ";487,79;2;09/04/2025;"                                                  ";;
2820;"KRAFFT,S.L.                                                                                         ";498,06;1;25/07/2025;"Manel Mila                                        ";20/01/2023;"ENVIAT E-MAIL RECLAMCIO DEUEN DOS MESOS"
285225;"IBERSANTJUST S.L.                                                                                   ";110,36;1;10/08/2025;"Jordi Porta                                       ";;
125162;"JOFERTRANS,S.L.                                                                                     ";240,52;2;25/08/2025;"                                                  ";;
1661;"SOCIEDAD DE SERVICIOS LOGISTICOS SDA CENTRAL,S.L.                                                   ";30,02;1;31/08/2024;"                                                  ";;
285635;"INDUSTRIAS CARNICAS LORIENTE-INCARLOPSA                                                             ";169,99;3;30/10/2024;"                                                  ";;
286580;"LEPECO SL - MIDTOWN -                                                                               ";30,58;18;30/10/2024;"Vicenç Reche                                      ";09/10/2025;"gestio de cobro"
188122;"TECHNIC STONE 2020 SL                                                                               ";85,18;1;15/11/2024;"                                                  ";;
100708;"LA BUGADERIA                                                                                        ";158,66;2;29/11/2024;"                                                  ";;
286124;"MOTOR TARREGA CONSTRUTEC                                                                            ";168,42;2;30/12/2024;"                                                  ";;
283455;"OTSO                                                                                                ";30,00;1;28/02/2025;"Jordi Porta                                       ";21/01/2022;"GESTIONS COBRO"
4162;"DAPA,S.L.                                                                                           ";140,15;5;30/01/2025;"                                                  ";28/04/2023;"GESTIO DE COBRO"
189051;"MOSCA MARITMO, S.L.                                                                                 ";625,00;1;28/02/2025;"                                                  ";;
287524;"FABRICA DE EMBUTIDOS BELISARIO BARRIGA S.A.                                                         ";147,34;1;28/02/2025;"                                                  ";;
128970;"VANDEMOORTELE EUROPE N.V. SUCURSAL EN ESPANA                                                        ";-316,27;2;28/03/2025;"                                                  ";;
129876;"MINTEX PROMOCIONES, S.L.                                                                            ";259,11;2;28/03/2025;"                                                  ";;
286328;"INTEGRAL FOOD,S.A.                                                                                  ";720,64;6;28/03/2025;"                                                  ";;
184320;"CAT ESPAÑA LOG. CARGO, S.L.U.                                                                       ";2576,92;3;28/04/2025;"Jordi Porta                                       ";29/09/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 1.205,64 EUR"
188237;"DUPLEX PARK SL                                                                                      ";248,28;3;30/04/2025;"Vicenç Reche                                      ";16/11/2023;"gestio de cobro"
282102;"PRODUCTOS SECO,.S.L.                                                                                ";198,50;1;31/05/2025;"Jordi Porta                                       ";;
287559;"CUVO FOODS, S.L.                                                                                    ";54,20;2;30/04/2025;"                                                  ";;
600041;"ENRIC ROCA,S.A.                                                                                     ";57,71;1;30/04/2025;"                                                  ";;
130039;"OTSO THINK SPORT SL                                                                                 ";3471,23;3;30/05/2025;"                                                  ";;
189207;"ESCUT SECURITY SERVICES, SLU                                                                        ";913,49;1;30/04/2025;"                                                  ";29/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 7.258,84 EUR"
287673;"LOGISTA RETAIL S.A.                                                                                 ";40,80;1;30/04/2025;"                                                  ";;
187165;"ONKA ENTRERPRISE, S.L.                                                                              ";3433,06;4;10/07/2025;"Vicenç Reche                                      ";;
285748;"CARNICAS PLACIDO, S.L.                                                                              ";75,90;1;30/07/2025;"                                                  ";;
130229;"ARCHIMIDES PRO                                                                                      ";1412,98;3;30/06/2025;"                                                  ";;
182900;"FRANS BONHOMME ESPAÑA,S.L.U.                                                                        ";-313,81;2;30/07/2025;"                                                  ";;
186970;"TRANSPORTES JESUS GIL E HIJOS, S.L.                                                                 ";499,71;1;30/07/2025;"                                                  ";;
287340;"PALACIOS ROCA,S.A.U.                                                                                ";22,52;1;09/09/2024;"                                                  ";;
280779;"MENJAR DE VERITAT,S.L.U. (VERITAS)                                                                  ";393,50;2;30/07/2025;"FAUST MARCET                                      ";;
126761;"JULIAN RAMOS TABARES, S.L.                                                                          ";-16,45;2;30/07/2025;"                                                  ";;
283313;"INSTRUMENTOS MUSICALES GLEZSAMUSIC S.L.U.                                                           ";110,29;2;30/07/2025;"                                                  ";;
286466;"MECAPLUS, S.L.                                                                                      ";24,49;1;30/06/2025;"                                                  ";;
1785;"JOAQUIM ALBERTI, S.A. / LA SELVA                                                                    ";65,44;1;31/08/2025;"                                                  ";;
129549;"FRESHZILLA,LTD.                                                                                     ";-3,60;2;29/08/2025;"                                                  ";;
287703;"ICECARCENTER                                                                                        ";4,97;2;01/09/2025;"                                                  ";;
281032;"TAE - TRANSPORTS I SERVEIS INTEGRALS                                                                ";520,30;1;31/08/2025;"                                                  ";;
188432;"IBERICOS BENITO S.L.                                                                                ";73,83;1;10/09/2024;"                                                  ";;
255;"SALVESEN LOGISTICA, S.A.                                                                            ";129,97;1;25/11/2024;"Jordi Porta                                       ";;
0;"                                                                                                    ";22,52;1;31/08/2025;"                                                  ";17/10/2025;"gestio de cobro"
188904;"CFCARGO                                                                                             ";580,80;1;25/11/2024;"                                                  ";;
283209;"CONFEITARIA CARLOS GONÇALVES LDA.                                                                   ";73,83;1;11/11/2024;"                                                  ";;
286188;"B&C SERVEIS                                                                                         ";4,83;1;04/12/2024;"                                                  ";04/03/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 406,74 EUR"
188098;"TRANSPORTES DAVI, S.A / DAVIPLUS                                                                    ";291,61;1;25/02/2025;"                                                  ";;
287529;"ALMA ARGENTINA, SLU                                                                                 ";46,91;1;30/12/2024;"                                                  ";;
130070;"JAMONES IBERICOS BLAZQUEZ                                                                           ";46,91;1;14/01/2025;"                                                  ";;
284208;"GOURM AND DESSERTS - EXCLUSIVE CAKES-SANMAR                                                         ";461,97;5;27/02/2025;"                                                  ";;
180850;"WANZL EQUIPAMIENTO COMERCIAL,S.L.                                                                   ";630,05;1;10/03/2025;"                                                  ";;
195;"DB SCHENKER LLEIDA                                                                                  ";134,78;2;18/04/2025;"                                                  ";27/05/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 492,75 EUR"
182830;"TIRESUR, S.L.                                                                                       ";48,22;1;25/03/2025;"                                                  ";;
187832;"JS TRANS, S.L.                                                                                      ";147,34;1;27/04/2025;"                                                  ";;
130135;"AUTOPRIMA LEVANTE,S.L.U.                                                                            ";57,71;1;22/04/2025;"                                                  ";;
431;"ELECTRODOMESTICS TAURUS,S.L.                                                                        ";382,92;1;10/09/2025;"                                                  ";09/05/2025;"bON DIA, SISPLAU PODEU NMIRAR AQUESTA EXPEDICIÓ, JA QUE HEU FICAT A LA MATEIXA EXPE.DE DOS PROVEIDORS"
126011;"CENTRE DE JARDINERIA MONTFERRER, S.L.                                                               ";202,22;1;27/05/2025;"                                                  ";;
130224;"FLYTRANS ROISSY                                                                                     ";105,95;1;05/06/2025;"                                                  ";;
187754;"HEADBRANDS BEAUTY LUXURY GOLD,S.L.                                                                  ";6,61;1;18/06/2025;"                                                  ";09/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2231,61 EUR"
130027;"CIEN POR CIEN SEDA, S.L.                                                                            ";-2,63;2;25/06/2025;"                                                  ";;
287754;"TERESA CARLES MANUFACTURING, S.L.U                                                                  ";40,80;1;27/07/2025;"                                                  ";;
100731;"TRANSPORTES AGUSTIN RIAÑO, S.A.                                                                     ";968,00;1;22/09/2025;"ftl                                               ";;
186391;"DELPEYRAT IBERICA,S.L.                                                                              ";48,22;1;28/08/2025;"                                                  ";16/03/2023;"gestio de cobro"
280844;"INDUSTRIAS CARNICAS BARCELONA                                                                       ";97,24;1;28/07/2025;"                                                  ";;
100670;"SEMILLAS BATLLE,S.A.                                                                                ";176,08;1;12/09/2025;"                                                  ";17/09/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 25,85"
125994;"STIU 3000, S.L.  ULTIMATE DESIGN                                                                    ";80,15;1;12/09/2025;"                                                  ";;
182185;"STOCK LOGISTIC TRANSPORT MADRID,S.L.                                                                ";-2140,19;2;21/08/2025;"                                                  ";;
182254;"MG PRODUCCIONS                                                                                      ";150,00;1;03/09/2025;"                                                  ";17/06/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 397,74"
281153;"LA ADELITA / GRUP GASTRONOMIC GONG                                                                  ";40,80;1;05/09/2025;"                                                  ";11/01/2023;"gestio de cobro"
188929;"KANNODOL 2016, S.L.                                                                                 ";75,90;1;10/09/2025;"                                                  ";;
188443;"OPEN ON MONDAYS GASTROTEXTIL SL                                                                     ";135,27;4;29/10/2024;"                                                  ";;
1677;"AGORA SOLUCIONS LOGISTIQUES,S.L.                                                                    ";625,22;8;09/07/2024;"                                                  ";20/09/2024;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 25,16"
188737;"HECDANALE SL                                                                                        ";57,14;4;10/07/2024;"Vicenç Reche                                      ";;
2221;"DB SCHENKER BARCELONA                                                                               ";12165,99;5;10/08/2024;"                                                  ";21/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 116.02 EUR"
182793;"RDA BADAJOZ                                                                                         ";21,11;1;30/10/2024;"                                                  ";;
767;"VOLPI IMPORT-EXPORT, S.L.                                                                           ";143,87;3;07/03/2025;"Vicenç Reche                                      ";;
2478;"HELLMANN WORLDWIDE, S.A.                                                                            ";774,40;1;30/12/2024;"                                                  ";;
125216;"MEDIAPOST SPAIN,S.L.                                                                                ";204,99;1;15/03/2025;"                                                  ";;
181778;"MEDITERRANEAN LOGISTICS PARTNERS / SETRADIS                                                         ";376,28;2;25/03/2024;"                                                  ";16/10/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 113,93 EUR"
182619;"MARTINEZ COBO ,S.L. MC-CARGO                                                                        ";1033,30;1;30/04/2025;"Jordi Porta                                       ";19/10/2023;"GESTIO DE COBRO"
188968;"INNOVACIÓN Y DESARROLLO DE ADITIVOS, S.L.                                                           ";256,02;4;28/02/2025;"Vicenç Reche                                      ";31/01/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 197,59 EUR"
1380;"TRANS-CATALA, S.L. CBL                                                                              ";1648,29;4;25/03/2025;"Jordi Porta                                       ";16/10/2023;"GESTIO DE COBRO"
185976;"POMMA RECAMBIOS SL                                                                                  ";47,46;1;28/03/2025;"                                                  ";;
182359;"ESPECIALIDADES ELECTRICAS COMA,S.L.                                                                 ";-0,40;2;25/05/2025;"                                                  ";15/01/2024;"GESTIO COBRO"
185058;"MROLO IBERIA S.L.                                                                                   ";181,08;1;31/03/2025;"                                                  ";;
5861;"LOGITERS LOGISTICA,S.A.U.                                                                           ";215,41;5;15/06/2025;"Jordi Porta                                       ";05/06/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 100,43 EUR"
182886;"BRB AMENITIES,S.L.                                                                                  ";648,47;2;30/04/2025;"                                                  ";;
188873;"MASTER AUTOMOCION SL                                                                                ";-27,25;2;30/06/2025;"Vicenç Reche                                      ";;
282555;"QUALITY ESPRESSO S.A.                                                                               ";32,58;1;30/06/2025;"Manel Mila                                        ";;
283500;"GLOBAL FREIGHT INTERNACIONAL,S.A.                                                                   ";371,58;1;30/07/2025;"                                                  ";;
182881;"EGLOBE INTERMODAL, S.A.                                                                             ";401,67;1;25/08/2025;"Noemi Fernandez                                   ";11/10/2024;"GESTIO DE COBRO"
281406;"ESTABLIMENTS VIENA, S.A.                                                                            ";36,34;1;10/08/2025;"                                                  ";07/07/2025;"BONES, AMB AQUESTA CARREGA FALTARIA FACTURAR UN IGI DE 192,13 POTS FACTURAR-L'HO.GRACIES."
2544;"PROMOCION EXPORTACION Y SERVICIOS,S.A.                                                              ";557,08;1;30/08/2025;"Manel Mila                                        ";07/07/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2.065,38 EUR"
182425;"PALLEX                                                                                              ";5,05;1;31/08/2025;"                                                  ";09/09/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 187.43 EUR"
188791;"SONNEN LAND DISTRIBUCIONES SL                                                                       ";401,56;1;12/09/2025;"Vicenç Reche                                      ";15/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 255,79 EUR"
189321;"BROAD TELECOM SA                                                                                    ";109,60;1;31/08/2025;"Vicenç Reche                                      ";;
