Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
182633;"SD BLOC VALIRA, S.L.U. PELOSTOP                                                                     ";461,44;3;25/12/2023;"                                                  ";16/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 389,93 EUR"
203;"CBL MADRID                                                                                          ";-133,11;1;25/07/2025;"                                                  ";09/09/2024;"gestio de cobro"
3863;"ENSISA                                                                                              ";-341,39;7;10/06/2025;"                                                  ";12/11/2024;"GESTIO DE COBRO"
2697;"FEDEX EXPRESS SPAIN,S.L.U.                                                                          ";-205,40;10;15/07/2024;"Ruben Eduardo                                     ";10/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 94.29 EUR"
285223;"BABY BLUE CAPITAL, S.L.U.                                                                           ";10417,54;2;14/08/2025;"                                                  ";24/02/2025;"GESTIO DE COBRO"
100352;"DECO 3                                                                                              ";-14,57;1;05/09/2025;"                                                  ";;
184320;"CAT ESPAÑA LOG. CARGO, S.L.U.                                                                       ";23770,88;5;24/07/2022;"Jordi Porta                                       ";29/09/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 1.205,64 EUR"
100802;"CTM COMERCIAL MARITIMA,S.L.                                                                         ";1127,71;2;31/12/2022;"                                                  ";20/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 132,06 EUR"
284891;"CTM DE LEVANTE,S.L. CBL -460-                                                                       ";1186,92;5;31/01/2023;"                                                  ";22/11/2022;"RECLAMACIO COBRO"
284192;"AIGUA PURA ANDORRA                                                                                  ";-2447,68;2;30/04/2023;"Manel Mila                                        ";18/06/2024;"GESTIO DE COBRO"
127814;"TRANSPORTES BILBAINOS VIZCAIA,S.L. CBL-480-                                                         ";209,74;6;30/05/2023;"                                                  ";;
127808;"POLITRANS RUTA 40,S.L.U. CBL-500-                                                                   ";145,61;3;30/09/2023;"                                                  ";;
127812;"TRANSPORTES URGENTES DE ASTURIAS,S.L. CBL-330-                                                      ";180,81;6;05/10/2023;"                                                  ";;
280018;"EDITORIAL PLANETA,S.A.                                                                              ";1419,90;5;31/05/2024;"Jordi Porta                                       ";25/11/2022;"GESTIO COBROS"
1177;"D-4 TRANSPORTES Y LOGISTICA, S.L. CBL -431-                                                         ";145,00;1;05/01/2024;"                                                  ";;
3707;"ANDIMESA S.L.                                                                                       ";43,98;2;11/03/2024;"                                                  ";28/06/2024;"gestio de cobro"
127813;"RECADERS DE GIRONA I PROVINCIA,S.L. CBL-170                                                         ";80,82;2;25/02/2024;"                                                  ";;
3930;"BELLACER, S.A.                                                                                      ";12,26;1;03/06/2025;"                                                  ";30/01/2025;"GESTIO COBRO"
2410;"EMPRESAS RAMONEDA, S.A.                                                                             ";238,62;1;31/03/2024;"                                                  ";28/06/2024;"GESTIO DE COBRO"
127314;"TRANSPORTES CALLIZO SA                                                                              ";113,63;1;29/02/2024;"                                                  ";27/06/2024;"GESTIO DE COBRO"
182881;"EGLOBE INTERMODAL, S.A.                                                                             ";316,06;2;25/04/2024;"Noemi Fernandez                                   ";11/10/2024;"GESTIO DE COBRO"
285302;"D-KORA-GRUP CM S.A.                                                                                 ";37,62;4;23/08/2024;"FAUST MARCET                                      ";20/08/2024;"gestio de cobro"
284679;"TRANSFEDAN,S.L. CBL -40-                                                                            ";76,51;1;05/06/2024;"                                                  ";;
183587;"EAE-OSTELEA FORMACIONONLINE SL                                                                      ";45,30;2;31/05/2024;"Jordi Porta                                       ";;
5978;"MATERIALS RIBA,S.A.                                                                                 ";499,40;8;30/07/2022;"                                                  ";02/12/2024;"GESTIO DE COBRO"
125533;"LABORAE,S.L. KAFEX                                                                                  ";717,41;5;31/05/2024;"Manel Mila                                        ";07/03/2025;"ES NECESARIO CONTACTAR CON EL DESTINATARIO YA QUE LA EXP. VA CON COBRO DE DUA"
1661;"SOCIEDAD DE SERVICIOS LOGISTICOS SDA CENTRAL,S.L.                                                   ";144,56;2;30/07/2024;"                                                  ";;
183537;"MEDTRONIC IBERICA SA                                                                                ";210,37;1;30/07/2024;"                                                  ";;
287144;"PROFIX EUROPE SL                                                                                    ";3362,93;5;30/06/2024;"                                                  ";22/07/2024;"GESTIO DE COBRO"
128965;"KUCOVER,S.L.U.                                                                                      ";26,26;2;31/07/2024;"                                                  ";21/07/2025;"GESTIO DE COBRO"
284887;"CBL ILLESCAS 281                                                                                    ";412,11;4;25/09/2024;"                                                  ";25/02/2025;"GESTIO DE COBRO"
284345;"AVATON AC2D SLU                                                                                     ";2443,48;14;31/08/2024;"                                                  ";19/08/2024;"gestion de cobro"
3914;"AUTO STOP,S.L.                                                                                      ";1956,82;4;31/08/2024;"Manel Mila                                        ";25/11/2024;"GESTIO DE COBRO"
281899;"ARAP S.A.U / BETZINERES ESSO                                                                        ";98,76;3;31/08/2024;"                                                  ";31/10/2024;"gestio de cobro"
125356;"VIA CATALANA,S.L.                                                                                   ";750,00;1;31/10/2024;"                                                  ";19/08/2025;"gestio de cobro"
285811;"PEÑACOBA VALENCIA,S.L.                                                                              ";400,00;1;15/10/2024;"                                                  ";30/07/2025;"Factura pendent"
283665;"ATECI                                                                                               ";253,88;1;31/07/2024;"                                                  ";18/10/2024;"GESTIO DE COBRO"
281752;"GUESS ANDORRA                                                                                       ";5367,42;7;30/09/2024;"Ruben Eduardo                                     ";06/09/2024;"GESTIO DE COBRO"
126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";552,22;3;16/10/2024;"Vicenç Reche                                      ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
4162;"DAPA,S.L.                                                                                           ";22,63;1;30/10/2024;"                                                  ";28/04/2023;"GESTIO DE COBRO"
185130;"CORAL TRANSPORTS CENTRO INSULAR SL                                                                  ";33,10;2;31/12/2024;"                                                  ";03/01/2025;"GESTIO DE COBRO"
284030;"VERY N'ICE S.L.                                                                                     ";108,23;1;30/11/2024;"Manel Mila                                        ";25/03/2025;"gestio de cobro sepa"
500444;"PERSIANES MAZON S.L.                                                                                ";1368,19;9;30/12/2024;"                                                  ";21/03/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 241,23 EUR"
3798;"CONSTRUCCIONS I TREBALLS PUBLICS LA COMA,S.L.                                                       ";51,84;1;30/11/2024;"                                                  ";;
5767;"FARMACIA SANT ERMENGOL                                                                              ";22,63;1;30/11/2024;"                                                  ";;
5785;"HOTEL HESPERIA ANDORRA LA VELLA (ALIAT)                                                             ";51,84;1;30/11/2024;"                                                  ";;
4066;"HOTEL PLAZA                                                                                         ";33,19;1;15/02/2025;"                                                  ";02/04/2024;"gestio de cobro"
4363;"DB SCHENKER GIRONA                                                                                  ";144,17;3;26/03/2025;"                                                  ";;
281695;"FRANCESC PEDRAZA BAGUR - ERAND ENERGIES RENOVABLES                                                  ";319,32;2;28/02/2025;"                                                  ";03/03/2025;"sol.licitut dades bancaries"
287559;"CUVO FOODS, S.L.                                                                                    ";28,32;1;28/02/2025;"                                                  ";;
281862;"SURF ARINSAL                                                                                        ";1487,49;8;26/02/2025;"                                                  ";24/11/2023;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 544.14"
286584;"HIFE ANDORRA-AUTOCARS ANDORRA 2011, S.L.                                                            ";162,97;2;28/03/2025;"                                                  ";;
182499;"TXT CENTRAL NETWORK SERVICIOS,S.L.                                                                  ";-911,17;2;29/02/2024;"                                                  ";13/10/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 101,12 EUR"
100116;"MULTI SERVEIS INTEGRALS 01,S.L.                                                                     ";235,13;1;28/02/2025;"                                                  ";19/08/2025;"GESTIO DE COBRO"
125587;"PROLAB FOTO I+D,S.L.                                                                                ";179,32;4;28/02/2025;"                                                  ";17/03/2025;"gestio de cobro retorn"
286609;"MINISTERI D'AFERS EXTERIORS                                                                         ";463,59;1;31/05/2025;"                                                  ";;
4185;"FAMAGUSTA, S.L.                                                                                     ";78,91;6;08/05/2025;"                                                  ";19/08/2025;"gestio de cobro"
281507;"RESTAURANT MCDONALD'S ANDORRA LA VELLA                                                              ";21,18;1;25/05/2025;"                                                  ";;
285658;"EDICOM S.A.                                                                                         ";114,33;1;30/04/2025;"Manel Mila                                        ";;
500794;"BESPOKE CLOSET - CARMEN LOPEZ                                                                       ";956,18;2;30/04/2025;"                                                  ";08/05/2025;"gestio de cobro"
130095;"AIR LIQUIDE HEALTCHCARE ESPAÑA,S.L.                                                                 ";904,89;1;31/03/2025;"                                                  ";;
287271;"CLARINS SPAIN SA                                                                                    ";76,85;1;31/05/2025;"                                                  ";11/07/2025;"GESTIO DE COBRO"
4107;"VALIRA SEGURETAT,S.L.                                                                               ";70,84;1;09/04/2025;"                                                  ";19/08/2025;"GESTIO DE COBRO"
183666;"EDITORIAL PLANETA ANDORRA,S.L.U.                                                                    ";183,11;3;25/06/2025;"Jordi Porta                                       ";29/05/2024;"gestio de cobro"
4016;"CAVIDSA - LOG. I G. CAVES ANDORRANES I VIDAL, S.A.                                                  ";7,67;1;30/04/2025;"Manel Mila                                        ";;
286597;"ICL UNILOG                                                                                          ";2508,76;8;30/04/2025;"                                                  ";13/10/2025;"GESTIO DE COBRO"
287327;"FUSCO,ANTONIO                                                                                       ";1031,40;4;30/04/2025;"                                                  ";;
283455;"OTSO                                                                                                ";1543,94;1;21/06/2025;"Jordi Porta                                       ";21/01/2022;"GESTIONS COBRO"
5773;"CAVES MANACOR                                                                                       ";57,62;1;31/05/2025;"Ruben Eduardo                                     ";19/08/2025;"GESTIO DE COBRO"
130039;"OTSO THINK SPORT SL                                                                                 ";471,71;1;30/06/2025;"                                                  ";;
189236;"TRAYCCO - APUNTO MARKETING EN EL PUNTO DE VENTA SL                                                  ";75,00;1;30/06/2025;"                                                  ";;
282937;"HAIR CARE INSTITUTE SLU                                                                             ";2488,85;2;31/05/2025;"Ruben Eduardo                                     ";19/09/2025;"Bona tarda,esta tancat el transit d'aquesta exp.?gràcies."
284101;"UVL INFORMATICA                                                                                     ";247,28;4;31/05/2025;"                                                  ";19/06/2025;"GESTIO DE COBRO"
286103;"NUTRIM, S.L.                                                                                        ";5,77;1;20/06/2025;"Ruben Eduardo                                     ";27/11/2024;"gestio de cobro"
183729;"SHISEIDO SPAIN SA                                                                                   ";867,71;3;30/06/2025;"                                                  ";;
283278;"MINISTERI DE MEDI AMBIENT, AGRIC. I SOSTENIBILITAT                                                  ";14,62;1;30/08/2025;"                                                  ";;
285591;"SERRALLERIA PARDO                                                                                   ";45,56;4;21/08/2025;"                                                  ";21/08/2025;"gestio de cobro"
126744;"PORCELANOSA SA                                                                                      ";45,71;1;30/06/2025;"                                                  ";;
286366;"MARC MITJANA-PRISMA TOPOGRAFIA                                                                      ";35,04;1;30/06/2025;"                                                  ";;
287714;"UTE ANDORRA II ACCIONA AGUA ECOTECNIC                                                               ";302,21;2;30/07/2025;"                                                  ";;
287462;"SERCOTEL ANDORRA, SL                                                                                ";112,41;1;15/07/2025;"                                                  ";;
280779;"MENJAR DE VERITAT,S.L.U. (VERITAS)                                                                  ";269,51;2;30/07/2025;"FAUST MARCET                                      ";;
283919;"EL CEDRE DISTRIBUCIONS, SLU                                                                         ";47,40;5;10/08/2025;"Ruben Eduardo                                     ";28/10/2024;"gestio de cobro"
284156;"MENTA FACILITY,S.L.                                                                                 ";82,74;2;15/08/2025;"                                                  ";15/03/2023;"gestio de cobro"
283825;"ESPORTS LA CAPA-DRR24SL                                                                             ";365,86;2;18/10/2023;"                                                  ";22/07/2024;"GESTIO DE COBRO"
3387;"PASSERA DISTRIBUCIO,S.L.                                                                            ";10,88;1;31/08/2025;"                                                  ";24/09/2025;"gestio de cobro"
3960;"FUNDACIO RESIDENCIA CLARA RABASSA                                                                   ";67,63;2;31/07/2025;"                                                  ";07/08/2025;"Retorn rebut"
6123;"FUSTERIA EBENISTERIA ART SANTA COLOMA S.L.                                                          ";260,88;3;16/05/2025;"                                                  ";04/04/2025;"GESTIO DE COBRO"
130274;"SANTA GLORIA PRAT DE LA CREU                                                                        ";116,47;1;31/08/2025;"                                                  ";;
130276;"POPEYE'S ESCALDES                                                                                   ";-76,29;2;31/08/2025;"                                                  ";;
284895;"ARTDECO,S.L.U.                                                                                      ";19,12;1;31/07/2025;"                                                  ";30/09/2025;"gestio de cobro"
287848;"UTE EM-T+ELECNOR ANDORRA                                                                            ";1108,03;1;31/08/2025;"                                                  ";;
283514;"FRAN REPELIN                                                                                        ";97,08;3;08/10/2024;"                                                  ";;
287457;"FARMACIA DEL FENER                                                                                  ";49,15;1;31/08/2025;"                                                  ";;
287639;"LUZLU NAILS                                                                                         ";120,78;2;31/07/2025;"                                                  ";07/08/2025;"Retorn rebut"
282160;"D-PACKET - DULCET                                                                                   ";11,68;1;31/07/2025;"                                                  ";;
284176;"NUX IBERIA LOGISTICS, S.L.                                                                          ";416,28;1;18/03/2024;"                                                  ";06/11/2024;"gestio de cobro"
286950;"GONZALO J. SANFIZ SANCHO                                                                            ";239,50;1;10/04/2024;"                                                  ";06/11/2024;"GESTIO DE COBRO"
281081;"MERITXELL AMADOR I CHANTAL TESI,S.L. (LITTLE BLACK                                                  ";125,34;1;24/07/2024;"                                                  ";25/01/2024;"GESTIONS COBRO"
100800;"CBL ZF                                                                                              ";-1299,89;2;05/07/2025;"                                                  ";13/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 51.10 EUR"
285813;"FREDIMAQ                                                                                            ";57,32;1;16/09/2024;"                                                  ";04/04/2024;"GESTIO DE COBRO"
1333;"QUARS MEGASTORE-JAMO                                                                                ";10,97;1;30/01/2025;"                                                  ";19/08/2025;"GESTIO DE COBRO"
283994;"GSI SEGURETAT SLU                                                                                   ";63,73;2;09/05/2025;"                                                  ";10/12/2024;"GESTIO DE COBRO"
286573;"HOTEL SOLDEU MAISTRE                                                                                ";67,84;1;08/01/2025;"                                                  ";;
5117;"APARTHOTEL SHUSSKI                                                                                  ";66,91;2;21/03/2025;"                                                  ";19/08/2025;"gestio de cobro"
4011;"MENTA SEGURETAT,S.A.U.                                                                              ";-31,73;3;30/03/2025;"Ruben Eduardo                                     ";22/08/2025;"gestio de cobro"
1376;"RAMONEDA / NUEVA AGECO                                                                              ";43,83;1;06/05/2025;"                                                  ";03/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 30.41 EUR"
286466;"MECAPLUS, S.L.                                                                                      ";443,41;2;19/04/2025;"                                                  ";;
285984;"COPSA-URCOSA, U.T.E. TORRE ZENIT                                                                    ";114,95;1;25/03/2025;"                                                  ";;
286611;"LLORENS MAJORAL, GUADALUPE                                                                          ";21,85;1;10/04/2025;"                                                  ";;
4072;"TREPOSA                                                                                             ";-85,79;2;14/06/2025;"                                                  ";19/08/2025;"GESTIO DE COBRO"
2527;"SALVAT LOGISTICA                                                                                    ";645,00;1;25/07/2025;"                                                  ";20/05/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 29434,93 EUR"
286468;"HOTEL HESPERIA ANDORRA                                                                              ";598,34;1;18/08/2025;"                                                  ";;
281679;"SAME S.L.                                                                                           ";1250,68;3;20/07/2025;"                                                  ";17/09/2025;"GESTIO DE COBRO"
187754;"HEADBRANDS BEAUTY LUXURY GOLD,S.L.                                                                  ";1093,61;2;18/06/2025;"                                                  ";09/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2231,61 EUR"
285991;"COMPLEX ESPORTIU SOCIOCULTURAL                                                                      ";27,75;1;25/06/2025;"                                                  ";;
5078;"PIC NEGRE,S.A.                                                                                      ";11,19;1;08/08/2025;"Ruben Eduardo                                     ";23/11/2022;"GESTIO DE COBRO"
286561;"PALADIUM                                                                                            ";49,02;1;30/07/2025;"                                                  ";;
282782;"MOTOR BOX ANDORRA - TM RACING ANDORRA ERMOT                                                         ";846,37;1;12/09/2025;"Manel Mila                                        ";24/02/2025;"GESTIO DE COBRO"
4413;"COMU D'ENCAMP                                                                                       ";222,79;1;21/09/2025;"                                                  ";07/10/2022;"GESTIO DE COBRO"
284793;"MORABANC GRUP                                                                                       ";14,62;2;21/08/2025;"                                                  ";09/09/2025;"gestio de cobro"
